省份,平均占比(%),权重(%),数据天数
湖北省,66.66909090909091,66.84,11
河南省,5.702727272727272,5.72,11
湖南省,3.6236363636363635,3.63,11
安徽省,2.369090909090909,2.38,11
江西省,2.2245454545454546,2.23,11
广东省,2.0663636363636364,2.07,11
江苏省,1.6745454545454543,1.68,11
四川省,1.3809090909090909,1.38,11
重庆市,1.3563636363636364,1.36,11
浙江省,1.2327272727272727,1.24,11
山东省,1.2309090909090907,1.23,11
北京市,1.1345454545454545,1.14,11
河北省,1.0618181818181818,1.06,11
福建省,0.9772727272727273,0.98,11
广西壮族自治区,0.9172727272727272,0.92,11
上海市,0.8554545454545455,0.86,11
陕西省,0.7809090909090909,0.78,11
贵州省,0.6809090909090909,0.68,11
山西省,0.649090909090909,0.65,11
云南省,0.6027272727272727,0.6,11
甘肃省,0.3981818181818182,0.4,11
海南省,0.3936363636363636,0.39,11
辽宁省,0.3836363636363636,0.38,11
黑龙江省,0.3181818181818182,0.32,11
新疆维吾尔自治区,0.26272727272727275,0.26,11
内蒙古自治区,0.21,0.21,11
天津市,0.1890909090909091,0.19,11
吉林省,0.1918181818181818,0.19,11
宁夏回族自治区,0.10545454545454547,0.11,11
青海省,0.07272727272727274,0.07,11
西藏自治区,0.023636363636363636,0.02,11
